,MenuId,MenuTypeId,DishName,Description,Price,ImageURL
0,1,1,Stir-fried Asparaguses 清炒蘆筍 [Qin Chao Lu Sun],"""Qin Chao Lu Sun"" is a simple, light taste stir-fired asparaguses dish",75000,https://lh3.googleusercontent.com/proxy/zX_3EbpSV2o8PK0ssZ49-o-zaWg1MzoxoPr5caaGbJBMpX2soRFomKj802H62R4I0Y5aCrtLXdSXOG8NA835erkDiG-_h8fhE9ACmmxTZjkmJ1Vf1w=s0-d
1,2,3,Clay Oven Roll 燒餅 [Shao Bing],"""Shao Bing"" also called Clay Oven Roll, is a variety of baked flat and crispy bread with sesame on the top, often served with You Taio and Soy Milk as breakfast",68000,https://lh5.googleusercontent.com/proxy/9DBmYA4GmHX945rqcp_YNPL6hbkNI7f-NpLueNzj_SmuVGuqroa0s4492CGGghDdamoDoWgGTJ4xd6NtPK48K6sEAzvNwnEwVe8wrJe_rReVFSYvmw=s0-d
2,3,1,Clay oven roll with fried bread stick 燒餅油條 [Shao Bing You Tiao],"""Shao Bing You Tiao"" is a very common set of breakfast with You Tiao(Deep Fried Bread Stick) wrapped by a Clay Oven Roll",85000,https://lh3.googleusercontent.com/proxy/73Jkv0dnhOukw9TFQufv7UHQ8VWO4G4TLUiylTwlzMfzIktLK64dakFJYoRCw_FEEPdqRrRtEt9E0fCzIwqrgY5A_qAH-CyBrMQLRV4RNIKtB3KvQg=s0-d
3,4,2,Beef Noodle 牛肉麵 [Niu Rou Mian],"""Niu Rou Mian"" is a Chinese noodle soup with noodle, stewed beef, beef broth and vegetable",28000,https://lh6.googleusercontent.com/proxy/JqTcEZRtd-FHubwuaX5XwOmoZrUsNQi-N5CgAI1kqUVm7SgD2VSsypM7qi6dClRgQP6Wf2tAkFzzXt1bJAvZuPq8bd5cQDlrHkxvKy7I2_TorN8zyA=s0-d
4,5,2,Green chili Venison 杭椒鹿肉 [Hang Jiao Lu Rou],"""Hang Jiao Lu Rou"" is a stir fired green chili with venison (deer meat) dish",45000,https://lh5.googleusercontent.com/proxy/gDz0UO9HvVPkRWc_t1oNQW-WszGPISY37SyCUi8Thwec22PZCK8N6cMKvQfpQSApxGO-n8PUwypKCsu7Q2AzBGiLhmVhZes2BtVJksPgP2MtJA2lKA=s0-d
5,6,4,Soy milk豆漿 [Dou Jiang],"RegularShanghai Style Salted Soy Milk ""Dou Jiang"" is a traditional breakfast beverage of yellow soya beans juice to serve in cold, mild warm or hot in bowl or cup, with or without sugar or salt",61000,https://lh6.googleusercontent.com/proxy/j7ucDYZDcVihUA9LR1xKV8ndnENgF-mRq3VejdJHNxKWRNaInklVW5i5Nqqb76DP2wVbjfFhdGhA2tP-AA-SDymObbasaLTFqPG7mAlucdGa64Xqeg=s0-d
6,7,1,Salted egg Bitter melon 鹹蛋苦瓜 [Xian Dan Ku Gua],"""Xian Dan Ku Gua"" is a traditional Hakka summer dish, fried with salted duck egg and Bitter melon to mild the liver inflammation and to ease the digestion",83000,https://lh5.googleusercontent.com/proxy/tfRNVRwdpHc1EUDCM6BH4m2-5vjWAPJP6E8adhkFb71joM3nZ3q-caLiUOf8N-K4xz7X9NyERGi4WtLQ5AO-ZjQiRVbVmFzOPfEFva8z3TwN-15E6Q=s0-d
7,8,1,Fried bread stick 油條 [You Tiao],"""You Tiao"" (Chinese Cruller) is a chorro like deep fried bread stick breakfast in golden brown color",38000,https://lh6.googleusercontent.com/proxy/ZRG2BLmnSfJJCeby1w-x3quVgQEY1Wy4QJVKUPvt0gwOsZwBOlV-seR89uFOOBpWajJLQsVNYsra3pOnLF5NfW6SBoM1n54oWS4kwATZvVFgzimEaQ=s0-d
8,9,2,Hamburger 漢堡 [Han Bao],"""Han Bao"" a regular burger with a special recipe of sausage patty, sauce and the famous taiwanese sweet mayonnaise",70000,https://lh6.googleusercontent.com/proxy/6wme82bBaECAVs_sR4stI2H_8-ZFPhurMMzVESuebeAUVnGk2YyrnthoNgPV6FtsfVHqQGoAbHIqHpaqXXcJIIBBrK5fQDV-B67aWZ2xxrEQ-WrcnA=s0-d
9,10,2,Sandwich 三明治 [San Ming Zh],"""San Ming Zh"" Taiwanese sandwich is often made with white toast cut in triangle, salad, omelet, ham or sausage patty, shredded sweet cucumber and a special taiwanese sweet mayonnaise",57000,https://lh5.googleusercontent.com/proxy/VG0SxEqDisi66sSN0SQ4-Wgl2iJP5zzqK9v0miklXQbGFTY2Spy7tw1hOUUVt06w_ihRMxw8I-QGvmgoYt9KW1iE8FfTQPmOhBv6INkvPx4yiEpklg=s0-d
